,ch_cortex_1,ch_cortex_2,ch_subcortex_1,ch_subcortex_2,sub
12,8-10,9-11,0-2,1-3,rcs02l
28,9-11,8-10,0-2,1-3,rcs02r
16,10-11,8-9,2-3,0-1,rcs03l
0,9-11,8-10,0-2,1-3,rcs05l
17,9-11,8-10,0-2,1-3,rcs05r
3,9-11,8-10,1-3,0-2,rcs06l
15,9-11,8-10,1-3,0-2,rcs06r
27,9-11,8-10,0-2,1-3,rcs07l
14,9-11,8-10,0-2,1-3,rcs07r
13,9-11,8-10,1-3,0-2,rcs08l
29,9-11,8-10,1-3,0-2,rcs08r
18,8-9,10-11,2-3,0-1,rcs09l
2,8-9,10-11,2-3,0-1,rcs09r
9,8-9,10-11,2-3,0-1,rcs10l
26,8-9,10-11,2-3,0-1,rcs10r
22,8-9,9-10,1-3,0-2,rcs11l
5,8-9,9-10,1-3,0-2,rcs11r
20,10-11,8-9,0-2,1-3,rcs12l
6,10-11,8-9,0-2,1-3,rcs12r
7,8-9,10-11,1-3,0-2,rcs14l
24,10-11,8-9,1-3,0-2,rcs15l
10,10-11,8-9,0-2,1-3,rcs15r
4,8-9,10-11,1-3,0-2,rcs17l
23,8-9,10-11,0-2,1-3,rcs17r
21,10-11,8-9,1-3,0-2,rcs18l
8,10-11,8-9,1-3,0-2,rcs18r
11,10-11,8-9,1-3,0-2,rcs19l
25,10-11,8-9,1-3,0-2,rcs19r
1,8-9,10-11,1-3,0-2,rcs20l
19,8-9,10-11,1-3,0-2,rcs20r
